E,B,Op,DLDuration,DLCpuCore,DlCpuTotal,DLGpu,DCopyDuration,DCopyCpuCore,DCopyCpuTotal,DCopyGpu,FPDuration,FPCpuCore,FPCpuTotal,FPGpu,BPDuration,BPCpuCore,BPCpuTotal,BPGpu
1,69,Backward Pass Time,0.000372,7.742963,38.714815,6.8035,8.4e-05,7.742963,38.714815,6.8035,0.651674,46.457778,232.28888999999998,40.821,0.50881,38.714814999999994,193.574075,34.0175
1,70,Backward Pass Time,0.00051,7.742963,38.714815,6.8035,8.5e-05,7.742963,38.714815,6.8035,0.651505,46.457778,232.28888999999998,40.821,0.50601,38.714814999999994,193.574075,34.0175
1,71,Backward Pass Time,0.000302,7.742963,38.714815,6.8035,7.8e-05,7.742963,38.714815,6.8035,0.653495,54.200741,271.00370499999997,47.6245,0.505923,38.714814999999994,193.574075,34.0175
1,72,Backward Pass Time,0.000367,7.742963,38.714815,6.8035,9.4e-05,7.742963,38.714815,6.8035,0.650596,46.457778,232.28888999999998,40.821,0.507914,38.714814999999994,193.574075,34.0175
1,73,Backward Pass Time,0.000313,7.742963,38.714815,6.8035,8.1e-05,7.742963,38.714815,6.8035,0.649375,54.200741,271.00370499999997,47.6245,0.507105,38.714814999999994,193.574075,34.0175
1,74,Backward Pass Time,0.000366,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.654477,46.457778,232.28888999999998,40.821,0.5072,38.714814999999994,193.574075,34.0175
1,75,Backward Pass Time,0.000423,7.742963,38.714815,6.8035,8.6e-05,7.742963,38.714815,6.8035,0.651703,54.200741,271.00370499999997,47.6245,0.505177,38.714814999999994,193.574075,34.0175
1,76,Backward Pass Time,0.000402,7.742963,38.714815,6.8035,8.1e-05,7.742963,38.714815,6.8035,0.650249,54.200741,271.00370499999997,47.6245,0.509412,38.714814999999994,193.574075,34.0175
1,77,Backward Pass Time,0.00036,7.742963,38.714815,6.8035,7.5e-05,7.742963,38.714815,6.8035,0.650716,46.457778,232.28888999999998,40.821,0.507643,38.714814999999994,193.574075,34.0175
1,78,Backward Pass Time,0.000336,7.742963,38.714815,6.8035,7.8e-05,7.742963,38.714815,6.8035,0.650104,54.200741,271.00370499999997,47.6245,0.507392,38.714814999999994,193.574075,34.0175
1,79,Backward Pass Time,0.000418,7.742963,38.714815,6.8035,7.9e-05,7.742963,38.714815,6.8035,0.651207,46.457778,232.28888999999998,40.821,0.508497,38.714814999999994,193.574075,34.0175
1,80,Backward Pass Time,0.000377,7.742963,38.714815,6.8035,8.5e-05,7.742963,38.714815,6.8035,0.652775,54.200741,271.00370499999997,47.6245,0.507049,38.714814999999994,193.574075,34.0175
1,81,Backward Pass Time,0.000376,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.65164,54.200741,271.00370499999997,47.6245,0.508221,38.714814999999994,193.574075,34.0175
1,82,Backward Pass Time,0.000369,7.742963,38.714815,6.8035,8.3e-05,7.742963,38.714815,6.8035,0.653161,46.457778,232.28888999999998,40.821,0.506793,38.714814999999994,193.574075,34.0175
1,83,Backward Pass Time,0.000304,7.742963,38.714815,6.8035,8.8e-05,7.742963,38.714815,6.8035,0.651421,54.200741,271.00370499999997,47.6245,0.507447,38.714814999999994,193.574075,34.0175
1,84,Backward Pass Time,0.000338,7.742963,38.714815,6.8035,8.2e-05,7.742963,38.714815,6.8035,0.655545,46.457778,232.28888999999998,40.821,0.508798,38.714814999999994,193.574075,34.0175
1,85,Backward Pass Time,0.000346,7.742963,38.714815,6.8035,7.6e-05,7.742963,38.714815,6.8035,0.651179,54.200741,271.00370499999997,47.6245,0.509542,38.714814999999994,193.574075,34.0175
1,86,Backward Pass Time,0.000319,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.654681,54.200741,271.00370499999997,47.6245,0.509737,38.714814999999994,193.574075,34.0175
1,87,Backward Pass Time,0.000363,7.742963,38.714815,6.8035,7.8e-05,7.742963,38.714815,6.8035,0.652216,46.457778,232.28888999999998,40.821,0.508091,38.714814999999994,193.574075,34.0175
1,88,Backward Pass Time,0.000689,7.742963,38.714815,6.8035,0.000101,7.742963,38.714815,6.8035,0.650541,54.200741,271.00370499999997,47.6245,0.508003,38.714814999999994,193.574075,34.0175
1,89,Backward Pass Time,0.000384,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.652896,46.457778,232.28888999999998,40.821,0.508618,46.457778,232.28888999999998,40.821
1,90,Backward Pass Time,0.000389,7.742963,38.714815,6.8035,8.8e-05,7.742963,38.714815,6.8035,0.653813,46.457778,232.28888999999998,40.821,0.508192,38.714814999999994,193.574075,34.0175
1,91,Backward Pass Time,0.000385,7.742963,38.714815,6.8035,9.2e-05,7.742963,38.714815,6.8035,0.654183,54.200741,271.00370499999997,47.6245,0.508372,38.714814999999994,193.574075,34.0175
1,92,Backward Pass Time,0.000374,7.742963,38.714815,6.8035,8.4e-05,7.742963,38.714815,6.8035,0.651623,46.457778,232.28888999999998,40.821,0.507448,38.714814999999994,193.574075,34.0175
1,93,Backward Pass Time,0.000448,7.742963,38.714815,6.8035,8.5e-05,7.742963,38.714815,6.8035,0.653913,54.200741,271.00370499999997,47.6245,0.505013,38.714814999999994,193.574075,34.0175
1,94,Backward Pass Time,0.000406,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.653157,54.200741,271.00370499999997,47.6245,0.509667,38.714814999999994,193.574075,34.0175
1,95,Backward Pass Time,0.000589,7.742963,38.714815,6.8035,0.00011,7.742963,38.714815,6.8035,0.65181,46.457778,232.28888999999998,40.821,0.507068,38.714814999999994,193.574075,34.0175
